team_id,best_score
8669,9.0
6978,9.0
7020,9.0
4869,9.0
9615,9.0
9799,9
10650,8
8049,9.0
9085,9.0
10463,9
9888,9.0
10584,9
5752,9.0
10671,3.0
9455,9.0
10669,7.0
10618,7.0
5422,9.0
7234,9.0
4602,9.0
10673,3
10571,16.0
10425,9.0
10662,9
10664,9
6947,9.0
8885,9.0
10625,9.0
9215,9.0
9910,9
10514,9.0
5991,9.0
10578,9
10330,8.0
8668,9.0
5293,9.0
10304,9.0
9552,9.0
7983,9.0
10017,9.0
7461,9.0
10606,19
9941,6.0
8362,9.0
7865,9.0
7898,9.0
10593,9
9812,9.0
7726,9.0
9229,9.0
5479,9.0
8813,9.0
5310,9.0
7144,9.0
8769,9.0
7969,9.0
8248,9.0
6161,9.0
9881,9.0
8536,9.0
10672,16.0
6010,9.0
5290,9.0
10302,9.0
9963,9.0
10484,5
7653,9.0
6033,9.0
8068,9.0
8637,9.0
7532,9.0
9750,9.0
9392,9.0
7841,9.0
10667,16.0
9632,9.0
7135,9.0
10282,9.0
8728,9.0
7176,9.0
8902,9.0
10078,9.0
10426,9
9928,9.0
10299,9.0
6238,9
10503,9.0
6902,9.0
7718,9.0
7175,9.0
4863,9.0
9806,9.0
9648,9.0
8262,9.0
8680,9.0
10315,9.0
10245,9.0
7024,9.0
9107,9.0
10569,6.0
8840,9.0
8297,9.0
4411,9.0
5005,9.0
4991,9.0
7106,9.0
8346,9.0
6589,9
8220,9.0
10206,9
8909,9.0
8280,9.0
10663,7.0
9105,9.0
10610,2.0
10276,8.0
10609,8.0
6211,9.0
10022,9
10648,9.0
10472,9.0
10220,9
10666,8.0
8135,9.0
9287,9.0
10621,9.0
10594,8
4962,9
7427,9.0
9943,9.0
8193,8.0
10661,4.0
8607,9.0
7354,9.0
7733,9
6591,9.0
8211,9.0
10421,9.0
8772,9.0
9183,9.0
9976,9.0
10105,9.0
10051,9.0
10660,9
10053,9.0
9942,8.0
4773,9.0
9902,9.0
9797,9.0
10646,6
10572,9
8113,9.0
8574,9.0
9996,9
9166,8
4608,9.0
5995,9.0
10165,9
10398,4
7490,9.0
10659,3.0
10632,5.0
6665,9.0
9564,9
8504,9.0
10116,9.0
9275,9.0
8738,9.0
7137,6.0
10658,3
5973,9.0
8474,9
6800,9.0
4494,9.0
6667,9.0
10371,9
6922,9.0
10399,8
10655,16
9565,9.0
5378,9.0
9253,9.0
10360,3.0
7533,9.0
10654,8
9845,19
9973,8.0
7511,9.0
10652,16.0
10653,9.0
8203,9.0
4674,9.0
9827,5.0
9863,9.0
10633,9.0
10490,9
9724,9
9646,9.0
10604,16.0
7640,9.0
10372,8.0
8704,9
7642,9
10651,7
10502,8
10643,7
10644,6.0
10386,9.0
10605,9.0
10288,9.0
10649,8
7966,9.0
9868,9.0
10538,9.0
10637,9
9684,9.0
10509,9
6630,9.0
10097,9.0
7187,9.0
9939,9.0
10567,9.0
6595,8.0
10467,9.0
10627,5.0
6643,9.0
