event_id,event_name,start_date,end_date,location,prize,teams
5231,BashFest 2020,2020-02-23 00:00:00,2020-02-23 00:00:00,"Burnaby, Canada",7556,"[10656, 10360]"
5230,Samsung GOEXANIMO CS:GO 5X5 #20,2020-02-23 00:00:00,2020-02-23 00:00:00,"Riga, Latvia",975,"[10654, 7511, 9973, 9845]"
5229,epic29,2020-02-23 00:00:00,2020-02-23 00:00:00,"Kettering, United Kingdom",3917,"[10652, 10653]"
4869,DreamHack Open Anaheim 2020,2020-02-21 00:00:00,2020-02-23 00:00:00,"Anaheim, California, USA",Other,"[4869, 8135, 9215, 8297, 5005, 7533, 10514, 7234]"
5223,OGA Counter PIT Season 7,2020-02-17 00:00:00,2020-02-23 00:00:00,Europe (Online),15000,"[9976, 10421, 7461, 8068, 7969, 9863, 8248, 10593]"
5224,ASUS ROG Winter 2020,2020-02-20 00:00:00,2020-02-22 00:00:00,"Helsinki, Finland",13711,"[7865, 9863, 8504, 9648, 4674, 10116, 7642, 10604]"
5217,GIRLGAMER World Finals 2020,2020-02-20 00:00:00,2020-02-22 00:00:00,"Dubai, United Arab Emirates",47500,"[7640, 9827, 9646, 10633]"
5222,Liga DELL #2 - FEB/20,2020-02-18 00:00:00,2020-02-21 00:00:00,South America (Online),1300,"[10632, 6800, 9941, 10490, 10643, 10644, 10387, 9724]"
5225,POWER Ligaen Season 13,2020-02-19 00:00:00,2020-02-20 00:00:00,Denmark (Online),1450,"[8704, 10372, 10502, 10651]"
5211,FLASHPOINT Europe Closed Qualifier,2020-02-14 00:00:00,2020-02-17 00:00:00,Europe (Online),Other,"[7020, 10549, 8772, 7898, 7718, 7865, 9976, 10421, 7461, 8068, 8813, 9928, 10386, 5310, 7234, 10509, 10577, 9183, 9797, 6978, 8346, 10621, 4602, 10488, 9287, 10567, 7187, 9636, 10315, 9939, 10099, 9789]"
5193,Asia Minor Middle East Open Qualifier 2 - ESL One Rio 2020,2020-02-16 00:00:00,2020-02-16 00:00:00,Middle East (Online),Other,"[9943, 6589, 10288, 10649]"
5191,Asia Minor East Asia Open Qualifier 2 - ESL One Rio 2020,2020-02-16 00:00:00,2020-02-16 00:00:00,Asia (Online),Other,"[10646, 7109, 10053, 8203]"
5185,Asia Minor Greater China Open Qualifier 2 - ESL One Rio 2020,2020-02-16 00:00:00,2020-02-16 00:00:00,Asia (Online),Other,"[7966, 9868, 10245, 10648]"
5213,FLASHPOINT South America Closed Qualifier,2020-02-14 00:00:00,2020-02-16 00:00:00,South America (Online),Other,"[4773, 8574, 7653, 9902, 6947, 7176, 8902, 10605, 6033, 10078, 10632, 9910, 10637, 9941, 6630, 10484]"
