player_id,team_id,Count,start date,end date,difference
7,4548,60.0,2013-01-09,2015-11-04,1029
7,4602,58.0,2017-01-04,2017-12-05,335
7,4623,96.0,2012-10-12,2013-12-06,420
7,6137,173.0,2015-01-08,2016-12-03,695
7,7059,46.0,2016-01-08,2016-09-08,244
7,7175,69.0,2016-02-09,2017-09-01,570
15,4606,26.0,2012-12-11,2016-12-10,1460
29,4411,1101.0,2012-01-12,2019-12-14,2893
35,4869,72.0,2013-02-12,2016-11-24,1381
37,6031,23.0,2015-03-04,2015-12-05,276
38,6031,27.0,2015-02-06,2015-12-05,302
38,6724,24.0,2016-02-19,2016-12-03,288
39,4411,1073.0,2012-01-12,2019-11-05,2854
41,4488,34.0,2012-08-12,2013-05-28,289
41,4983,40.0,2013-02-09,2013-11-09,273
41,4991,339.0,2013-11-12,2015-12-05,753
41,6685,34.0,2016-02-16,2019-11-04,1357
41,6902,162.0,2016-01-05,2019-04-18,1199
41,8721,40.0,2018-01-17,2018-10-02,258
41,9085,30.0,2018-01-10,2018-11-07,301
44,4688,154.0,2016-01-11,2017-12-10,699
44,6405,23.0,2016-01-22,2016-10-03,255
44,6865,43.0,2016-01-05,2016-10-05,274
44,6978,111.0,2017-12-19,2018-12-06,352
44,9481,104.0,2018-01-12,2019-12-02,689
58,4623,97.0,2012-10-12,2013-12-06,420
62,6343,23.0,2016-03-09,2016-12-14,280
77,4494,89.0,2013-02-19,2014-12-13,662
77,4901,31.0,2013-02-10,2013-12-14,307
92,4494,60.0,2012-02-10,2013-12-03,662
102,4494,43.0,2012-11-12,2015-07-01,961
102,4901,42.0,2013-02-09,2013-12-14,308
128,4494,90.0,2012-02-10,2015-07-01,1237
128,5195,37.0,2014-04-08,2014-12-19,255
128,5395,44.0,2014-08-23,2015-12-05,469
136,4494,169.0,2013-03-12,2015-12-11,1004
136,6673,116.0,2016-01-09,2016-12-11,337
136,7532,297.0,2017-01-07,2019-12-06,1063
146,4615,28.0,2012-11-26,2013-12-03,372
147,4559,29.0,2016-01-05,2016-10-08,277
147,4674,51.0,2019-02-09,2020-02-22,378
147,5991,266.0,2016-02-11,2018-06-18,858
147,7856,29.0,2017-07-18,2018-09-03,412
150,4559,36.0,2016-01-05,2016-10-28,297
150,4615,23.0,2013-01-24,2013-10-01,250
150,4674,35.0,2019-02-09,2019-12-20,314
150,5929,297.0,2016-08-14,2018-12-04,842
150,9572,26.0,2018-01-11,2019-01-17,371
152,7998,23.0,2017-01-08,2017-11-07,303
156,4948,73.0,2013-01-11,2014-12-04,692
157,4948,34.0,2013-01-11,2013-12-15,338
161,4532,159.0,2012-01-12,2013-12-02,690
161,4533,29.0,2013-03-12,2013-11-28,261
161,5378,693.0,2014-01-06,2018-01-21,1476
161,6134,151.0,2018-01-06,2019-02-18,408
161,9862,29.0,2019-02-19,2019-12-03,287
161,10020,61.0,2019-01-06,2019-12-10,338
162,4532,130.0,2012-01-12,2013-12-02,690
163,4532,130.0,2012-01-12,2013-12-02,690
163,5211,22.0,2013-12-14,2014-12-03,354
163,5599,25.0,2015-01-09,2015-12-08,333
163,5613,21.0,2014-05-06,2015-05-25,384
163,6372,33.0,2015-01-10,2016-03-14,429
165,4532,159.0,2012-01-12,2013-12-02,690
165,4533,28.0,2013-03-12,2013-11-28,261
165,5378,858.0,2014-01-06,2018-12-18,1807
165,6667,26.0,2019-01-06,2019-08-31,237
168,6619,21.0,2016-01-06,2016-09-06,244
169,7176,29.0,2019-03-11,2020-12-02,632
169,7613,21.0,2017-01-04,2017-11-04,304
169,8113,149.0,2017-01-12,2019-10-04,995
170,6618,42.0,2016-01-06,2016-12-09,338
170,8297,106.0,2017-05-11,2018-11-08,546
174,7354,200.0,2016-10-13,2019-01-25,834
175,7354,40.0,2016-10-13,2018-09-06,693
177,4865,153.0,2016-01-10,2018-11-01,1026
180,6503,84.0,2015-03-12,2019-01-23,1413
180,6773,132.0,2016-01-04,2017-12-01,697
180,7092,40.0,2019-01-11,2019-11-08,301
180,7606,114.0,2017-01-07,2018-10-03,634
200,5775,52.0,2014-06-12,2015-12-05,541
203,5005,53.0,2013-01-11,2019-12-03,2517
203,5752,454.0,2014-02-10,2017-12-05,1394
205,7354,214.0,2016-10-13,2020-06-03,1329
245,4615,24.0,2013-01-24,2013-12-03,313
269,6375,42.0,2016-10-12,2017-09-03,326
284,4914,78.0,2018-01-10,2018-12-07,331
284,5995,140.0,2018-01-12,2020-09-01,963
284,7856,119.0,2017-01-07,2018-09-03,604
301,4608,127.0,2012-03-12,2014-06-29,839
302,4555,86.0,2012-04-12,2013-12-02,599
302,4984,29.0,2013-05-12,2013-12-21,223
302,5310,321.0,2014-01-10,2016-11-02,1027
302,8135,43.0,2017-10-10,2018-12-03,419
303,4469,24.0,2018-01-07,2018-11-06,303
303,4608,262.0,2012-03-12,2016-12-04,1728
303,7020,54.0,2017-01-07,2017-12-07,334
317,4532,152.0,2012-01-12,2013-12-02,690
317,4533,29.0,2013-03-12,2013-11-28,261
317,5378,854.0,2014-01-06,2018-12-18,1807
322,4468,106.0,2012-09-21,2018-07-13,2121
322,4759,35.0,2014-01-08,2014-11-08,304
329,4468,83.0,2014-10-21,2017-11-20,1126
329,4759,28.0,2014-01-08,2014-12-08,334
329,5395,23.0,2016-03-07,2016-12-06,274
330,4468,40.0,2014-10-21,2018-07-13,1361
330,4759,36.0,2014-01-08,2014-12-08,334
330,4949,23.0,2017-01-05,2017-12-15,344
330,6124,28.0,2015-01-09,2015-12-09,334
330,6222,21.0,2016-02-03,2016-09-04,214
334,4555,55.0,2012-04-12,2013-12-02,599
334,4984,70.0,2013-01-11,2013-12-21,344
334,5310,202.0,2014-02-03,2015-12-08,673
334,6651,356.0,2016-01-10,2018-12-06,1061
334,6667,36.0,2019-01-04,2019-12-04,334
334,8120,84.0,2019-01-08,2019-12-11,337
338,4608,69.0,2012-03-12,2013-12-06,634
338,4984,71.0,2013-01-11,2013-12-21,344
338,5310,124.0,2014-01-10,2015-11-01,660
338,5988,449.0,2015-02-06,2018-12-01,1394
339,4555,86.0,2012-04-12,2013-12-02,599
339,4984,71.0,2013-01-11,2013-12-21,344
339,5144,23.0,2013-11-20,2017-09-27,1407
339,5310,849.0,2014-01-10,2020-12-03,2519
356,4468,31.0,2012-09-21,2017-11-05,1871
356,4949,35.0,2018-03-06,2019-12-12,646
356,6124,38.0,2015-01-09,2015-12-09,334
365,4468,25.0,2015-03-06,2015-11-06,245
365,4591,21.0,2014-02-25,2015-06-09,469
365,7339,41.0,2016-09-10,2019-12-21,1197
365,7718,73.0,2017-03-12,2018-12-07,635
373,6124,38.0,2015-01-09,2015-12-09,334
373,7339,41.0,2016-09-10,2019-12-21,1197
373,7718,73.0,2017-03-12,2018-12-07,635
429,4494,162.0,2012-11-12,2020-06-02,2759
429,4548,28.0,2014-01-10,2014-11-09,303
429,4623,36.0,2012-11-22,2013-12-06,379
429,4983,36.0,2013-02-10,2013-12-19,312
429,5996,200.0,2015-01-03,2015-12-09,340
429,6665,125.0,2016-01-04,2016-12-04,335
429,6667,396.0,2016-01-12,2018-12-15,1068
438,4413,26.0,2013-02-09,2014-06-16,492
438,5679,23.0,2014-02-08,2014-11-08,273
472,4609,64.0,2012-11-28,2013-12-09,376
472,5593,38.0,2014-04-09,2015-08-01,479
472,5988,451.0,2015-02-06,2018-12-01,1394
483,4608,819.0,2012-03-12,2019-12-04,2823
483,4984,42.0,2013-01-11,2013-12-10,333
483,9183,30.0,2019-01-08,2019-11-08,304
484,4608,774.0,2012-03-12,2019-12-04,2823
484,5144,23.0,2014-04-11,2017-11-26,1325
484,6651,87.0,2016-03-11,2017-12-03,632
499,4742,51.0,2013-01-05,2014-12-08,702
499,5138,38.0,2013-05-10,2019-12-03,2398
499,6651,89.0,2016-01-10,2016-12-09,334
499,7489,176.0,2017-01-10,2018-12-04,693
515,5009,22.0,2014-04-08,2016-06-02,786
545,4623,77.0,2012-11-22,2013-12-06,379
545,4991,49.0,2013-01-11,2013-12-09,332
545,6137,130.0,2013-11-29,2016-12-03,1100
545,7059,46.0,2016-01-08,2016-09-08,244
545,7175,371.0,2016-02-09,2018-12-17,1042
555,6267,39.0,2018-01-05,2018-09-05,243
555,6621,25.0,2016-01-10,2016-12-10,335
555,6947,180.0,2017-02-06,2019-12-09,1036
556,6618,39.0,2016-01-06,2016-12-09,338
557,6137,88.0,2016-01-09,2016-12-11,337
557,6267,37.0,2018-01-05,2018-09-05,243
557,6290,90.0,2015-11-12,2016-12-05,389
557,6334,25.0,2015-03-11,2015-12-09,273
557,7010,62.0,2016-08-28,2017-12-03,462
557,7176,29.0,2019-03-11,2020-12-02,632
558,6618,32.0,2016-01-06,2016-12-09,338
558,9013,22.0,2018-03-12,2019-02-25,350
566,7668,71.0,2017-01-04,2018-12-09,704
604,4742,21.0,2014-02-12,2014-12-08,299
607,4609,45.0,2013-02-10,2013-12-09,302
624,4791,30.0,2016-04-10,2017-11-06,575
624,8536,39.0,2018-01-11,2018-12-09,332
625,6176,21.0,2015-03-10,2016-11-07,608
629,4469,140.0,2012-01-12,2015-04-22,1196
629,4949,68.0,2018-03-11,2019-12-12,641
629,5422,59.0,2017-01-07,2017-11-10,307
629,5995,52.0,2015-01-11,2016-11-01,660
629,6118,24.0,2018-05-05,2018-12-06,215
629,6134,74.0,2015-01-09,2018-09-02,1332
629,6667,61.0,2016-01-22,2016-12-04,317
630,4469,181.0,2012-01-12,2017-07-05,2001
630,4949,82.0,2017-02-12,2019-12-12,1033
630,6134,28.0,2018-01-16,2018-09-02,229
630,7718,27.0,2018-04-07,2018-12-07,244
634,7314,24.0,2016-10-21,2018-04-02,528
646,4688,57.0,2016-04-11,2017-11-04,572
646,7039,22.0,2016-05-09,2016-11-10,185
662,7354,68.0,2016-10-13,2017-12-11,424
692,7331,27.0,2017-02-11,2017-12-10,302
694,7331,22.0,2017-02-11,2017-12-10,302
695,4411,164.0,2015-01-03,2015-12-05,336
695,4494,78.0,2014-02-08,2014-12-23,318
695,4869,317.0,2013-01-10,2020-10-01,2821
695,6615,78.0,2017-01-10,2017-12-16,340
695,6667,179.0,2016-01-09,2017-11-05,666
713,4869,37.0,2013-01-10,2016-08-27,1325
713,5789,37.0,2014-04-10,2015-12-03,602
735,4555,86.0,2012-04-12,2013-12-02,599
735,4984,71.0,2013-01-11,2013-12-21,344
735,5138,45.0,2013-05-10,2019-12-03,2398
735,5310,238.0,2014-01-10,2015-12-08,697
735,6651,377.0,2016-01-10,2019-03-02,1147
