player_id,nickname,realname,age,nationality
1,zet,Marcus Sundström,,Sweden
2,RobbaN,Robert Dahlström,,Sweden
7,Friis,Michael Jørgensen,30,Denmark
11,Vertigo,Thomas Andresen,,Norway
13,RashiE,Raymond Nielsen,27,Norway
15,m1kkis,Michael Sokki,29,Norway
17,Zyppe,Samuel Martinsson,30,Sweden
18,xeron,Niclas Putero,,Sweden
20,Rogga,Robert Forsberg,,Sweden
21,zonic,Danny Sørensen,33,Denmark
24,ave,Alexander Holdt,,Denmark
28,cArn,Patrik Sättermon,,Sweden
29,f0rest,Patrik Lindberg,31,Sweden
30,dsn,Harley Örwall,33,Sweden
31,lurppis,Tomi Kovanen,32,Finland
34,ruuit,Max Aspe,,Finland
35,naSu,Niko Kovanen,29,Finland
37,THREAT,Björn Pers,31,Sweden
38,kHRYSTAL,Frej Sjöström,29,Sweden
39,GeT_RiGhT,Christopher Alesund,29,Sweden
41,pronax,Markus Wallsten,28,Sweden
44,BARBARR,André Möller,29,Sweden
50,REAL,Sondre Svanevik,,Norway
51,syrtekz,Tommy Skoglund,,Norway
58,trace,Martin Heldt,29,Denmark
59,Aika,Adrian Schunke,,Germany
62,threeman,Johannes Droste,31,Germany
77,nooky,Andre Utesch,33,Germany
86,ninja,Vinh Bui Thanh,,Germany
92,approx,Manuel Zeitz,32,Germany
102,zonixx,Michele Köhler,29,Germany
105,coLLy,Burak Dogramaci,,Turkey
109,fai,Marco Sinato,,Italy
113,loomit,Christoph Normann,35,Germany
114,rEcki,Lucas Reckermann,31,Germany
128,Troubley,Tobias Tabbert,27,Germany
136,gob b,Fatih Dayik,32,Germany
137,Tixo,Manuel Makohl,,Germany
146,Ozstrik3r,Steeve Flavigni,,France
147,SIXER,Christophe Xia,28,France
150,MAJ3R,Engin Küpeli,29,Turkey
151,face,Johan Klasson,31,Sweden
152,Gux,Rasmus Ståhl,30,Sweden
153,Jumpy,Jimmy Berndtsson,33,Sweden
156,HaRts,Michael Zanatta,34,France
157,ioRek,Jeremy Vuillermet,32,France
158,MaT,Mathieu Leber,34,France
159,mSx,Mickael Cassisi,31,France
161,TaZ,Wiktor Wojtas,33,Poland
162,kuben,Jakub Gurczynski,31,Poland
163,Loord,Mariusz Cybulski,33,Poland
165,NEO,Filip Kubski,32,Poland
166,KIKOOOO,Carlos Henrique Segal,,Brazil
167,btt,Thiago Monteiro,,Brazil
168,cogu,Raphael Camargo,34,Brazil
169,nak,Renato Nakano,32,Brazil
170,spacca,Guilherme Spacca,30,Brazil
174,solo,Keun-Chul Kang,32,Korea
175,termi,Seon-Ho Pyeon,33,Korea
177,Jewelry,Nan Wang,33,China
180,Savage,Bin Liu,31,China
192,Irukandji,Andrew Timmerman,,United States
194,savi0r,David Park,,United States
196,SpawN,Abdisamad Mohamed,,Sweden
199,fRoD,Danny Montaner,33,United States
200,Storm,Tyler Wood,34,United States
201,Warden,Matt Dickens,34,United States
203,n0thing,Jordan Gilbert,29,United States
205,glow,Min-Soo Kim,32,Korea
212,steno,Nazar Vynnytsky,,United States
216,Volcano,Salvatore Garozzo,,United States
217,method,Michael So,,United States
219,da_bears,Erik Stromberg,,United States
222,TRULS,Chris Navratil,32,United States
224,dizzaman,Dustin Dilyerd,,Ireland
227,iNERTiA,Ric Bundy,33,United States
228,sinyster,Corey Deveraux,,United States
233,CosMo,Warren Boisnard,,France
234,drizzer,Benjamin Charnet,,France
239,kUtA,Kevin Dang,,France
244,Krav,Julien Hernandez,,France
245,mshz,Michel Nguyen,,France
251,NOtA,Kyle Saadi,30,Algeria
252,pressy,Benoit Garcia,,France
269,jarod,Steve Cohen,33,France
274,Skall,Benjamin Moulon,,France
