,Name,Nationality,ID
0,Xtreme Lungiz,Bangladesh,8172
1,All-Star Dragon,Asia,6392
2,Team China,Asia,10482
3,LSU,United States,9710
4,University of Texas at Dallas,United States,9813
5,Orgless Kings,Europe,7564
6,Vakarm.net Staff,France,5889
7,taotoma,Brazil,9018
8,HZ,Singapore,10569
9,Long Live Democracy,Hong Kong,6775
10,Rhein Neckar,Austria,10176
11,ExidiuM,Brunei,9527
12,Team West,Europe,9190
13,3DMAX,Slovakia,4683
14,Team East,China,9189
15,CAS Howl,Asia,8990
16,L4SALARY,United States,7455
17,Team coldzera,Brazil,9216
18,Europe All-Stars,Europe,6901
19,3 NEW 2 OLD,Hong Kong,7111
20,FU.sk,Czech Republic,4969
21,J2G,Indonesia,6416
22,Team Squeaky,North America,10407
23,myDGB.net,Slovakia,4556
24,Team rain,Europe,9516
25,NoobTubers,Europe,6453
26,aimg0d,Russia,9299
27,o9,United Arab Emirates,9169
28,ex-Deathtrap,Turkey,7005
29,Fidem,Myanmar,10311
30,Copenhagen Flames fe,Europe,10173
31,Assassins,World,9827
32,cats,Europe,9613
33,N4M1N0R,Russia,10095
34,BDO,Asia,9145
35,Eastern Giants,China,9957
36,RES,World,8727
37,FACEIT Level Tenz,Europe,10495
38,Americas All-Stars,United States,6900
39,Besiktas,Europe,9263
40,BTRG.HK,Hong Kong,9654
41,H5,China,5072
42,Hong Kong,Hong Kong,7042
43,Deathtrap,Turkey,6629
44,MDL All-Star KSCERATO,North America,9931
45,MDL All-Star boltz,Brazil,9932
46,Infernal Paradise,Russia,6553
47,Fragbite.se Staff,Sweden,5896
48,benchwarmers,Europe,8422
49,Team smooya,United Kingdom,9517
50,God Squad,Europe,8749
51,myRevenge,Korea,6194
52,allu's team,Finland,5632
53,mCon fe,Netherlands,6873
54,nevermind,Europe,6683
55,GGWP.pro,Latvia,5834
56,HLTV.org Staff,Europe,5899
57,PRINCEADIL,France,10522
58,Dynasty fe,Europe,8001
59,über G33KZ,Denmark,5271
60,ECL,Europe,9753
61,Team ROTW,World,10149
62,Goomba Squad,North America,9383
63,BANANFLAX,Sweden,7780
64,Kings,Australia,8021
65,Sweden fe,Sweden,8870
66,GUCCIBANAN,Sweden,7822
67,Team FalleN,Brazil,9217
68,EZISKINS,Denmark,8505
69,Earthroot,Canada,7414
70,etopkald,Denmark,8804
71,E-Vian,Laos,10247
72,A-Gaming,Belarus,5577
73,Recca,Indonesia,7344
74,Play It Cool All-Stars,Sweden,6578
75,Western Titans,World,9956
76,ENZO,Hong Kong,7324
77,BARCELONA,Brazil,9262
78,Dirty Peek Petes,South America,10496
79,FcottoNd,Finland,9964
80,LEOPARD,Iran,8676
81,Magicians,Europe,8033
82,5POWER,Mongolia,9629
83,Bosnia & Herzegovina,Bosnia and Herzegovina,5109
84,fSociety,Australia,6387
85,Sihirdar Rehberi,Turkey,6216
86,NOM,Israel,9362
87,Evolution,Ukraine,6249
88,porcvac,Belgium,8540
89,Grayhound,Australia,8008
90,Team allu,Finland,4997
91,Russian Forces,Russia,8483
92,Flash,China,7660
93,XD,Slovakia,9209
94,cabrone5,Macedonia,10439
95,All-Stars Europe,Europe,4857
96,Signify,India,9782
97,A LA MIX,Sweden,6743
98,NGA,Lithuania,7794
99,Insidious,Singapore,6108
100,catman,Australia,10220
101,Bad Monkey,Sweden,5519
102,ForGlory,Iran,9110
103,Rampage,Philippines,8408
104,wYw,Slovakia,4975
105,MDL All-Star Katie,United States,10184
106,NoTag,Brazil,9389
107,Team UK,United Kingdom,7890
108,Jynttä,Finland,5828
109,Horseshoe,North America,9712
110,AbsoluteTerror,Japan,6349
111,PEEKERS,France,9796
112,Anonymous,Australia,8104
113,TRAZED,Macedonia,8671
114,BuyKey,France,4416
115,L9L,Hong Kong,10480
116,ARMADA,Serbia,6265
117,DarkPassage,Turkey,7018
118,TAKTIKSTATIV,Denmark,5513
119,All Star A,Asia,9704
120,China,China,6303
121,Phoenix,Mongolia,10430
122,ex-Space Soldiers,Turkey,9572
123,Rampage Killers,Brazil,6112
124,Glory,United Arab Emirates,7810
125,CR4ZY,Serbia,10150
126,MIRAV3,Colombia,6545
127,ATMOS,France,9924
128,shinelikedemons,Israel,10647
129,ICON,New Zealand,9866
130,Those Damn Canadians,Canada,8565
131,myMDL,Finland,5826
132,5b0rk4,Bulgaria,7228
133,WMTF,Turkey,6102
134,guccixD,Tunisia,9649
135,f'ckers,Sweden,7779
136,Turkey,Turkey,5106
137,2115,Europe,10458
138,5orgless,India,10227
139,COVE,Malaysia,9366
140,TYLOO,China,4863
141,de_mirage,CIS,9301
142,KYNYNIEKAT,Finland,10604
143,MIBR,Brazil,9215
144,Fantazerbl,Russia,7915
145,ajuri,Finland,5032
146,Zettai,Italy,8387
147,deStiny & co.,Australia,8341
148,Faceit Grind,Denmark,8287
149,WinFakt,Finland,4466
150,ex-Spotnet,Lebanon,9156
151,Asuna's Anime Aimers,United States,10538
152,HEJT,Serbia,7500
153,MANS NOT HOT,Europe,8543
154,Space Academy,Turkey,7476
155,100 Thieves,Australia,8474
156,Team World,World,10483
157,suNny's team,Finland,5633
158,Team suNny,Finland,4998
159,Game Fist,Belgium,10127
160,Fredde,Sweden,6346
161,Pro Era,Estonia,7158
162,TCC,Australia,7518
163,juho's team,Finland,5841
164,GuAt,Guatemala,8550
165,Selfless fe,United States,7417
166,ViCi,China,7606
167,EchoMix,United States,6983
168,GO4Croatia,Sweden,5587
169,uN,Denmark,5858
170,ROG adreN,Canada,7536
